title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Macierzyństwo w kontekście zmian społecznych ",Aleksandra Maciarz,"
nauki społeczne (psychologia, socjologia, itd.) ",,"
8389501104 ","
Przemiany społeczne, jakie zaszły w świecie w minionym wieku naruszyły stare, odwieczne systemy, ideologie i hierarchie wartości, a także wpłynęły na pojmowanie macierzyństwa. Stało się to głównie za sprawą licznych prądów emancypacyjnych, które dążyły do wyzwolenia kobiet z izolacji domowej, ograniczeń zawodowych oraz zrównania i identyfikacji z mężczyznami. Ostatnio na skutek nowej wiedzy psychologicznej sytuacja nieco się zmieniła, uwzględniając osobowość i predyspozycje kobiet, które w wielu sytuacjach przewyższają mężczyzn.Dziś wiemy, że to nie kobiety powinny, zmieniać się, by dorównać mężczyznom, a sytuację społeczną należy kształtować tak, by zaspokoić aspiracje i aktywność kobiet i z wieloma rolami społecznymi podejmowanymi przez kobiety łączyć również macierzyństwo. ",,"
2004-01-01 ","
2004-01-01 ",,"
polski ",,,
"
Tragedia późnoantyczna Χριστὸς πάσχων [Christos Paschon] a jej źródła klasyczne. ",Agnieszka Heszen,"
językoznawstwo, nauka o literaturze ",Collegium Columbinum,"
8387553808 ",,,"
2004-01-01 ","
2004-01-01 ","
203 ","
polski ",,"

 Tragedia ""Christos Paschon"" to utwór bardzo specyficzny. Jest bowiem przykładem centonu, czyli utworu, który wykorzystuje cytaty z już istniejących dzieł. Powstały w późnym antyku lub w okresie bizantyńskim dramat zawiera bardzo wiele wierszy zaczerpniętych (czasem z lekkimi zmianami) z tragedii antycznych V wieku, zwłaszcza z Eurypidesa. Mi osobiście wydaje się to fascynujące, że w kilkaset (albo i przeszło tysiąc lat!) po ich napisaniu, ktoś tak twórczo je wykorzystał, by stworzyć dzieło o zupełnie innej, chrześcijańskiej wymowie. Autorka w tej książce (bazującej na jej pracy doktorskiej) zajmuje się właśnie źródłami tragedii, choć podjęła także temat autorstwa dzieła oraz jego datacji, które do dziś budzą sprzeczne opinie badaczy. Myślę, że sam ""Christos Paschon"" jest utworem na tyle nietypowym i niesamowitym, że warto przeczytać jego przekład pióra J. Łanowskiego, a także zapoznać się z tą, niewielką objętościowo książeczką. Zwłaszcza, że tematyka jest w Polsce wyjątkowo wręcz niszowa i praktycznie w ogóle nieznana.

Tomasz Babnis 

Tragedia ""Christos Paschon"" to utwór bardzo specyficzny. Jest bowiem przykładem centonu, czyli utworu, który wykorzystuje cytaty z już istniejących dzieł. Powstały w późnym antyku lub w okresie bizantyńskim dramat zawiera bardzo wiele wierszy zaczerpniętych (czasem z lekkimi zmianami) z tragedii antycznych V wieku, zwłaszcza z Eurypidesa. Mi osobiście wydaje się to... 

więcej



mniej





Pokaż mimo to


",
"
Widma przeszłości ",Alina Siomkajło,"
reportaż ",Norbertinum,"
8372222053 ","
Droga krzyżowa Polaków przymusowo skazywanych w latach 1940-1941 na pobyt w ZSRR stanowi tło historyczne wspomnień 12-letniej Stanisławy Siomkajło, wywiezionej do Kazachstanu 11 lutego 1940 r. razem z rodzinami i rodzeństwem. Bolesne wyrwanie z domu i własnego kraju, koszmarna podróż w nieznane zimą w bydlęcych wagonach, walka o przeżycie, śmierć rodziców, siostry, brata, uwolnienie z zesłania w wyniku tzw. amnestii, podróż na ""barżach śmierci"" rzeką Amu-darią w grudniu 1941 r., wyjście z ZSRR wiosną następnego roku i postój w morderczym klimacie Iranu, pobyt w Afryce i przyjazd do Anglii - te dramatyczne zdarzenia zanotowała po latach jej bliska krewna, Alina Siomkajło. ",,"
2004-01-01 ","
2004-01-01 ","
87 ","
polski ",,,
"
Zarys międzynarodowych stosunków gospodarczych ",Janusz Świerkocki,"
biznes, finanse ",Polskie Wydawnictwo Ekonomiczne,"
8320814936 ","
W najnowszym podręczniku międzynarodowych stosunków gospodarczych omówione zostały: teoria handlu międzynarodowego (podstawy teoretyczne, handel i podział dochodów, handel i wzrost gospodarczy, międzynarodowa mobilność czynników produkcji), polityka handlowa (instrumenty i miary protekcji, motywy i przyczyny protekcji, światowy system handlu, międzynarodowa integracja gospodarcza), międzynarodowe stosunki finansowe (bilans płatniczy, rynek walutowy, kurs walutowy, ewolucja międzynarodowego systemu walutowego, międzynarodowy rynek kapitałowy), zewnętrzna równowaga gospodarcza (m.in. polityka makroekonomiczna). Każdy rozdział kończy się podsumowaniem, zawierającym najważniejsze kwestie, oraz pytaniami, umożliwiającymi sprawdzenie zdobytej wiedzy ",,"
2004-01-01 ","
2004-01-01 ","
304 ","
polski ",,,
"
Olsztyn. Dzieje miasta ",Stanisław Achremczyk,"
historia ",Wydawnictwo Dolnośląskie,"
8373840656 ","
Ilustrowany zarys historii Olsztyna. ",,"
2004-01-01 ","
2004-01-01 ","
207 ","
polski ",,"

Ta książka jest jedynie kilkusekundowym sprintem przez całe dzieje miasta Olsztyn, mającego swój początek w XIV wieku. Ma to oczywiście swoje plusy i minusy. Plusem jest przejrzysta forma z wieloma ilustracjami, legendami, przybliżeniem najważniejszych postaci i masą ciekawostek. Idealna dla osoby niezainteresowanej dotychczas historią stolicy województwa warmińsko-mazurskiego. Czytelnik mający już ugruntowaną wiedzę nie będzie w stu procentach usatysfakcjonowany tą pozycją, która jedynie pobieżnie traktuje o najważniejszych wydarzeniach z dziejów miasta. Namawiam jednak gorąco każdego do przeczytania, właśnie ze względu na zachęcającą szatę graficzną i możliwość ekspresowego przypomnienia historii tego pięknego miejsca. 

Ta książka jest jedynie kilkusekundowym sprintem przez całe dzieje miasta Olsztyn, mającego swój początek w XIV wieku. Ma to oczywiście swoje plusy i minusy. Plusem jest przejrzysta forma z wieloma ilustracjami, legendami, przybliżeniem najważniejszych postaci i masą ciekawostek. Idealna dla osoby niezainteresowanej dotychczas historią stolicy województwa... 

więcej



mniej





Pokaż mimo to


",
"
Mazowsze w Koronie. Propaganda i legitymizacja władzy Kazimierza Jagiellończyka na Mazowszu. ",Piotr Węcowski,"
historia ",,"
83-88385-45-3 ","
Druga połowa XV i XVI w. były w dziejach Europy okresem rozszerzania się terytorium wielu państw. Ogólnoeuropejskie tendencje nie ominęły też monarchii jagiellońskiej. Zjawisko inkorporacji dotąd w przewadze rozpatrywano pod kątem wydarzeń politycznych (jednakże w kontekście militarnym) i procesów gospodarczych. Książka Piotra Węcowskiego pokazuje inny, nie mniej istotny a frapujący aspekt tego problemu – działania prowadzące do legitymizacji władzy monarchy, szerzej – Królestwa Polskiego na terenach inkorporowanych; mechanizmy kształtowania się propagandy, ale i jej odbiorców. Wnioski Autora oparte są na analizie dokumentów królewskich, pism Jakuba z Szadka, Jana Dąbrówki, Jana Długosza, Sędziwoja z Czechla, mów i kazań, ale także odwołują się do przekazów ikonograficznych oraz ceremoniału królewskiego. Tę ważną a przy tym ciekawą publikację wzbogacają barwne ilustracje, obszerne zestawienie bibliograficzne oraz indeks osób i miejscowości. ",,"
2004-01-01 ","
2004-01-01 ","
414 ","
polski ",,,
"
Fastnachtspiel t.3 - Bezsensowny Styks ",Marek Turek,"
komiksy ",Imago,"
8391963527 ","
Bezsensowny Styks to trzecia część trylogii pt. Fastnachtspiel. Bohaterem tej opowieści jest apokaliptyczne miasto zamieszkałe przez demony, golemy, anioły i wampiry. Historie stworzone przez Marka Turka są mroczne i niepokojące. Łączy je postać Charona samotnie przemierzającego rzekę Styks. W tajemniczym mieście śmierć nie zbiera już swojego żniwa, ale czy jego mieszkańcy stali się przez to szczęśliwsi? W swoim poetyckim albumie Marek Turek zadaje podstawowe egzystencjonalne pytania. Z ekspresyjnych, syntetycznych kadrów autora wyłania się świat pełen lęku i cierpienia. Świat, który nikogo nie zostawia obojętnym. ",,"
2004-01-01 ","
2004-01-01 ","
52 ","
polski ",,,
"
Samochód zabezpieczony ",Jędrzej Chmielewski,"
motoryzacja ",Adamantan,"
9788385655787 ","
Dzięki tej książce dowiesz się: w jakich sytuacjach najłatwiej stracić samochód, jakie są dostępne rodzaje zabezpieczeń, z czego powinien się składać dobry autoalarm, komu można powierzyć założenie zabezpieczeń, w jaki sposób możesz uniknąć kradzieży, co gwarantują polisy ubezpieczeniowe. ",,"
2004-01-01 ","
2004-01-01 ","
87 ","
polski ",,,
"
Leibniz. Myśl filozoficzna w XVII wieku ",Przemysław Gut,"
filozofia, etyka ",Wydawnictwo Uniwersytetu Wrocławskiego,"
8322924046 ","
Książka podejmuje istotne dla filozofii XVII wieku, aczkolwiek aktualne do dzisiaj zagadnienie, konstytuujące spór między monizmem a pluralizmem w pojmowaniu rzeczywistości. Jej warstwę zasadniczą stanowi analityczne omówienie argumentacji Leibniza na rzecz pluralizmu w zestawieniu z poglądami współczesnych mu filozofów o orientacji monistycznej, zwłaszcza Spinozy. ",,"
2004-01-01 ","
2004-01-01 ","
239 ","
polski ",,,
"
Ubiór w teatrze życia społecznego ",Grażyna Bokszańska,"
nauki społeczne (psychologia, socjologia, itd.) ",Politechnika Łódzka,"
9788372831170 ",,,"
2004-01-01 ","
 2004-01-01 ","
217 ","
polski ",,,
"
Wczesnośredniowieczne miecze z Europy Środkowej i Wschodniej. Dylematy archeologa i bronioznawcy ",Lech Marek,"
historia ",Wydawnictwo Uniwersytetu Wrocławskiego,"
9788322925478 ","
Spośród wszystkich zespołów zabytków wczesnośredniowiecznych miecze stanowią niezwykle ważne źródło poznania rzemiosła metalurgicznego, sztuki militarnej oraz prądów kulturowych przenikających Europę po upadku cesarstwa zachodniorzymskiego. W niniejszej pracy uwzględniono zabytki pochodzące z VI-XII wieku, czyli okresu, w którym uzbrojenie europejskie nosiło mniej lub bardziej wyraźne piętno wpływów kultury frankijskiej zarówno w zdobnictwie, jak i w niektórych formach. W książce omówiono zagadnienia związane z: klasyfikacją mieczy, zdobieniami rękojeści, technologią wykonania głowni, inskrypcjami i znakami umieszczanymi na nich. Zamieszczono w niej 34 tablice ze zdjęciami i szkicami mieczy oraz katalog znalezisk archeologicznych. ",,"
2004-01-01 ","
2004-01-01 ","
142 ","
polski ",,,
"
Transformers Armada 1/2004 ",James Raiz,"
komiksy ",Egmont Polska,,,"
Transformers Armada # 9-10 ","
2004-01-01 ","
2004-01-01 ","
52 ","
polski ","
Agnieszka Sylwanowicz ",,
"
Naucz swoje dziecko myśleć ",Bernadette Tynan,"
poradniki dla rodziców ",Klub dla Ciebie,"
8374040491 ",,,"
2004-01-01 ","
2004-01-01 ",,"
polski ","
Marcin Stopa ",,
"
Fleksja w gramatyce starożytnej Grecji ",Hubert Wolanin,"
językoznawstwo, nauka o literaturze ",Księgarnia Akademicka,"
8371886853 ","
Powszechnie znanym i nie podlegającym dyskusji jest fakt, iż historia europejskiej gramatyki jako dyscypliny naukowej sięga swymi korzeniami starożytności greckiej. W niniejszym opracowaniu podjęliśmy próbę ukazania sposobu, w jaki starożytni Grecy postrzegali i opisywali fakty językowe związane z funkcjonowaniem systemu fleksyjnego języka. W szczególności staraliśmy się przedstawić początki tego trudnego oraz długotrwałego procesu rozpoznawania i ujmowania w odpowiednie kategorie pojęciowo-terminologiczne wszystkich tych właściwości języka, które mają związek z fleksją wyrazową. ",,"
2004-01-01 ","
2004-01-01 ","
313 ","
polski ",,"

Bardzo trudna i wymagająca książka o gramatyce starożytnej i wykuwaniu się naukowej refleksji nad językiem. W trzech rozdziałach Autor analizuje postrzegania fleksji w pismach Arystotelesa, stoików i gramatyków epoki Cesarstwa, opierając się na zachowanych, często fragmentarycznie, przekazach źródłowych. Lektura nie jest łatwa po pierwsze ze względu na bardzo wysokie stężenie języka technicznego, po drugie zaś na posługiwanie się przez antycznych filologów nieuporządkowanym jeszcze aparatem pojęciowym. Dobrym przykładem jest tu rzeczownik ptosis, który w późniejszej teorii gramatycznej oznaczał przypadek (casus), ale wcześniej używano go inaczej, także na określenie kategorii, których współczesne językoznawstwo nie ujmuje łącznie. 

Pamiętam, że część tych zagadnień Autor omawiał na swoich wykładach z gramatyki łacińskiej, zawsze podziwiałem go za precyzję operowania tą skomplikowaną terminologią i umiejętność klarownego jej przedstawiania... 

Bardzo trudna i wymagająca książka o gramatyce starożytnej i wykuwaniu się naukowej refleksji nad językiem. W trzech rozdziałach Autor analizuje postrzegania fleksji w pismach Arystotelesa, stoików i gramatyków epoki Cesarstwa, opierając się na zachowanych, często fragmentarycznie, przekazach źródłowych. Lektura nie jest łatwa po pierwsze ze względu na bardzo wysokie... 

więcej



mniej





Pokaż mimo to


",
"
Kapitalizm, demokracja i kryzys państwa podatków ",Adam Glapiński,"
biznes, finanse ",Oficyna wydawnicza Szkoła Główna Handlowa w Warszawie,"
9798373780971 ","
Książka przedstawia życie i twórczość jednego z najbardziej wybitnych ekonomistów - Josepha Schumpetera. ",,"
2004-01-01 ","
2004-01-01 ","
324 ","
polski ",,"

Przepraszam najmocniej. Nie mogę dodać Pana Profesora Adama Glapińskiego jako autora tej książki.

26-02-2021 Udało mi się dodać prawdziwego autora książki. 

Przepraszam najmocniej. Nie mogę dodać Pana Profesora Adama Glapińskiego jako autora tej książki.

26-02-2021 Udało mi się dodać prawdziwego autora książki. 



Pokaż mimo to


",
"
Ziemia. Nieujarzmiona planeta ",praca zbiorowa,"
literatura podróżnicza ",G+J RBA,"
8389019566 ","
pod red. George C. Band 

Książka pokazuje najpiękniejsze i najdziwniejsze miejsca na Ziemi: najgroźniejsze wulkany, najwyższe góry, największe oceaniczne głębiny, nieprzebyte puszcze, najbardziej suche pustynie, najwyższe wodospady. Opisuje groźne zjawiska przyrody takie jak: huragany, tsunami, powodzie, trzęsienia ziemi i wybuchy wulkanów. ","
Extreme earth ","
2004-01-01 ","
2004-01-01 ","
320 ","
polski ","
Piotr Amsterdamski ",,
"
The Future of Hegel: Plasticity, Temporality and Dialectic ",Catherine Malabou,"
filozofia, etyka ",Routledge,,"
This book is one of the most important recent books on Hegel, a philosopher who has had a crucial impact on the shape of continental philosophy. Published here in English for the first time, it includes a substantial preface by Jacques Derrida in which he explores the themes and conclusions of Malabou's book.

The Future of Hegel: Plasticity, Temporality and Dialecticrestores Hegel's rich and complex concepts of time and temporality to contemporary philosophy. It examines his concept of time, relating it to perennial topics in philosophy such as substance, accident and the identity of the subject. Catherine Malabou's also contrasts her account of Hegelian temporality with the interpretation given by Heidegger in Being and Time, arguing that it is the concept of 'plasticity' that best describes Hegel's theory of temporality. The future is understood not simply as a moment in time, but as something malleable and constantly open to change through our interpretation. 
The book also develops Hegel's preoccupation with the history of Greek thought and Christianity and explores the role of theology in his thought.
Essential reading for those interested in Hegel and contemporary continental philosophy, The Future of Hegel is also fascinating to those interested in the ideas of Heidegger and Derrida. ",,"
2004-01-01 ",,"
260 ","
angielski ",,,
"
Lagerland ",Wojciech Próchniewicz,"
literatura piękna ",G&P,"
8372721068 ","
Lagerland napisany w latach osiemdziesiątych (czytałem pierwsze wydanie pod innym tytułem) zainspirował wielu artystów, prawdopodobnie też twórcę obozu z kloców lego, którego pomysł ujrzał światło dzienne dopiero w latach dziewięćdziesiątych, a teraz krytycy udają, że to Libera jest pierwszym twórcą tego oryginalnego dzieła, z którego można napisać cały traktat. Ta uniwersalna powieść przewidziała ""rozrywkowość"" obozu koncentracyjnego powszechnie obecną w całym swoim rozpasaniu w naszej współczesności. ",,"
2004-01-01 ","
2004-01-01 ","
110 ","
polski ",,,
"
Królowanie Boga.Trzy objaśnienia wyznania wiary Kościoła ",Tomasz Węcławski,"
religia ",Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza w Poznaniu,"
8389361639 ",,,"
2004-01-01 ","
2004-01-01 ","
415 ","
polski ",,,
"
Jak można mówić o Trójcy Świętej w słowach prostych i uniwersalnych ",Anna Wierzbicka,"
popularnonaukowa ",Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej,"
832272313X ","
Co właściwie znaczy sformułowanie w tytule, które zajmuje tak ważne miejsce w teologii i w wierze chrześcijańskiej? Autorka zadaje sobie te pytania z perspektywy wieloletnich badań semantycznych, skoncentrowanych na poszukiwaniu pojęć uniwersalnych, tzn. obecnych we wszystkich językach. Nie chodzi jej o to, żeby wygłaszać jakieś kategoryczne twierdzenia teologiczne, ale o to, by szukać zrozumienia. To nowe, co osobiście wnosi do tych poszukiwań, to właśnie perspektywa semantyczna oparta na wieloletnich badaniach empirycznych nad wieloma różnymi językami świata. Postawa Autorki jest postawą wiedzy szukającej zrozumienia, fides quaerens intellectum. ",,"
2004-01-01 ","
2004-01-01 ","
56 ","
polski ",,,
"
Makarony dla gości i rodziny ",praca zbiorowa,"
kulinaria, przepisy kulinarne ",Świat Książki,"
9788373915190 ","
Wszystkie przepisy zostały sprawdzone i opisane tak, by można było bez kłopotu przyrządzić potrawy, które sprawią radość twoim gościom i domownikom w każdym wieku. ","
Party pasta ","
2004-01-01 ","
2004-01-01 ","
96 ","
polski ","
Aldona Zaniewska ",,
"
Skrzacie fortele ",Mariusz Niemycki,"
literatura dziecięca ",Skrzat,"
978-83-7437-031-8 ","
""Są miejsca na świecie ukryte przed nami, gdzie baśnie cichutko się rodzą czasami. Są domy, co kryją wśród ścian tajemnice, są strychy skrzypiące i ciemne piwnice. A w lesie, w ogrodzie, na łące lub w sadzie są chaszcze splątane, gdzie słońce cień kładzie. Najlepiej tam nie chodź, nie zerkaj w tę stronę, bo zbudzisz niechcący coś w mroku uśpione. Lecz jeśli pomimo tej srogiej przestrogi do miejsc zakazanych zaniosą cię nogi, zobaczysz, jak w szparce szybciutko się chowa to rączka malutka, to nóżka lub głowa. Strach gardło ci ściśnie jak szpon lodowaty. I nie wiesz, czy myszy to były, czy... skrzaty?""
""Dom pełen skrzatów"" to pełna niezwykłych przygód, zaskakujących sytuacji
i humoru seria książeczek napisanych rytmiczną prozą rymowaną.
W tym zeszycie domowi zamieszkanemu przez skrzaty zagrażają nieproszeni goście. ",,"
2004-01-01 ","
2004-01-01 ","
16 ","
polski  ",,,
"
Praktyczne zarządzanie finansami firmy ",Robert Machała,"
biznes, finanse ",Wydawnictwo Naukowe PWN,"
83-01-14199-9 ","
Niniejsza książka to kompendium wiedzy teoretycznej uzyskanej z podręczników amerykańskich i wiedzy praktycznej zdobytej podczas kilkuletniej praktyki autora w dziedzinie zawodowego doradztwa finansowego oraz pracy na stanowisku dyrektora finansowego. ",,"
2004-01-01 ","
2004-01-01 ","
524 ","
polski ",,,
"
Wielka encyklopedia ptaków ",praca zbiorowa,"
flora i fauna ",Muza,"
 9788373195219 ","
Okładka: twarda, ",,"
2004-01-01 ","
2004-01-01 ","
420 ","
polski ",,,
